Order,Friendly Name,CF,Hardcoded Recognition,Name Pattern 1,Name Pattern 2,Image Tip,Buts,Dual,Sqr,Crs,Circ,Tri,L1,R1,L2,R2,Strt,Sel,1,2,3,4,Notes
0,Default,,,___Default,,GENE,,,,,,,,,,,,,,,,,<do not delete>
0,Keyboard,,DEVICE_CONF_KEYBOARD,___Keyboard,,KEYB,,,,,,,,,,,,,,,,,<do not delete>
0,Mouse,,DEVICE_CONF_MOUSE,___Mouse,,KEYB,,,,,,,,,,,,,,,,,<do not delete>
1,Gamepad Pro USB,42,,Garvis*Gamepad*Pro*,GamepadProUSB*,GPRO,10,,1,2,3,4,5,6,7,8,9,10,,,,,<do not delete>
1,Gravis Destroyer Tiltpad,,,DestroyerTiltpad,,GPRO,7,,1,2,3,4,5,6,,,,,7,,,,<do not delete>
1,Gravis Eliminator Aftershock,,DEVICE_CONF_ELAF,*EliminatorAftershock*,,GPRO,10,,1,2,3,4,5,6,7,8,9,10,,,,,<do not delete>
1,Gravis Eliminator GamePad Pro,42,DEVICE_CONF_ELIM,*EliminatorGamePadPro*,,GPRO,10,,1,2,3,4,5,6,7,8,9,10,,,,,<do not delete>
1,Gravis GamePad,40,,GravisGamePad,GamePad,GPRO,4,,1,2,3,,,4,,,,,,,,,<do not delete>
1,Gravis GamePad Pro,42,,GravisGamePadPro*,,GPRO,10,,1,2,3,4,5,6,7,8,9,10,,,,,<do not delete>
1,Gravis Xterminator,61,,*Xterminator*,,GPRO,11,,1,2,3,5,7,8,4,6,9,10,11,,,,Analog top triggers are not useable
1,Interact 3D Program Pad,,,Interact3DProgramPad*,,GENE,10,,6,3,4,5,1,2,7,8,12,11,,,,,<do not delete>
1,Interact Axis Pad,41,DEVICE_CONF_AXIS,*AxisPad*,,GENE,12+,,1,3,4,2,5,6,7,8,11,12,9,10,,,Reports lots more buttons than it has. L3/R3 buttons unusual on 9 and 10
1,Interact/3Dfx SV-262A Hammerhead,,,InteractGamingDevice*,InterActHammerHeadFx*,GENE,10,,4,5,6,2,1,8,7,9,3,10,,,,,<do not delete>
